pickup_zip,dropoff_zip,distance_miles
63010,57233,554.8
57233,8628,1187.5
8628,57233,1187.5
57233,62692,512.3
62692,57233,512.3
57233,70003,1075.1
70003,57233,1075.1
57233,33185,1604.5
33185,57233,1604.5
57233,99040,1011.9
99040,57233,1011.9
57233,53202,485.6
53202,57233,485.6
57233,71675,807.1
71675,57233,807.1
57233,73945,566.4
73945,57233,566.4
57233,38326,812.7
38326,57233,812.7
57233,95608,1299.4
95608,57233,1299.4
57233,43788,884.9
43788,57233,884.9
57233,5667,1232.9
5667,57233,1232.9
57233,99036,975.7
99036,57233,975.7
57233,36322,1112.1
36322,57233,1112.1
57233,45336,726.6
45336,57233,726.6
57233,54470,360.3
54470,57233,360.3
57233,71658,832.7
71658,57233,832.7
57233,5048,1240.4
5048,57233,1240.4
57233,30663,1053.2
30663,57233,1053.2
57233,13163,1086.0
13163,57233,1086.0
57233,70049,1066.3
70049,57233,1066.3
57233,38079,696.9
38079,57233,696.9
57233,93723,1294.0
93723,57233,1294.0
57233,60510,494.3
60510,57233,494.3
57233,52583,334.9
52583,57233,334.9
57233,20204,1119.9
20204,57233,1119.9
57233,14861,1054.5
14861,57233,1054.5
57233,44089,790.9
44089,57233,790.9
57233,85709,1125.2
85709,57233,1125.2
57233,32612,1315.3
32612,57233,1315.3
57233,32438,1165.6
32438,57233,1165.6
57233,16686,1009.8
16686,57233,1009.8
57233,57551,233.6
57551,57233,233.6
57233,65755,587.9
65755,57233,587.9
57233,99721,2517.3
99721,57233,2517.3
57233,89002,1095.0
89002,57233,1095.0
57233,21133,1114.8
21133,57233,1114.8
57233,70639,956.8
70639,57233,956.8
57233,78074,1007.5
78074,57233,1007.5
57233,95307,1315.2
95307,57233,1315.2
57233,24211,974.1
24211,57233,974.1
57233,5405,1191.8
5405,57233,1191.8
57233,3054,1296.3
3054,57233,1296.3
57233,20722,1121.5
20722,57233,1121.5
57233,11769,1259.3
11769,57233,1259.3
57233,94533,1342.9
94533,57233,1342.9
57233,78753,974.3
78753,57233,974.3
57233,53007,476.0
53007,57233,476.0
57233,68601,211.1
68601,57233,211.1
57233,8008,1233.9
8008,57233,1233.9
57233,77080,1018.5
77080,57233,1018.5
57233,51460,188.2
51460,57233,188.2
57233,75791,855.7
75791,57233,855.7
57233,54420,347.9
54420,57233,347.9
57233,62560,538.8
62560,57233,538.8
57233,95817,1308.0
95817,57233,1308.0
57233,17037,1055.5
17037,57233,1055.5
57233,54304,460.9
54304,57233,460.9
57233,48601,677.1
48601,57233,677.1
57233,59762,773.6
59762,57233,773.6
57233,37726,874.5
37726,57233,874.5
57233,46156,703.8
46156,57233,703.8
57233,61875,550.8
61875,57233,550.8
57233,90280,1326.6
90280,57233,1326.6
57233,24087,1026.5
24087,57233,1026.5
57233,38504,869.5
38504,57233,869.5
57233,41049,832.6
41049,57233,832.6
57233,50441,242.5
50441,57233,242.5
57233,71720,782.0
71720,57233,782.0
57233,71079,834.7
71079,57233,834.7
57233,68959,288.0
68959,57233,288.0
57233,55430,205.1
55430,57233,205.1
57233,20723,1119.3
20723,57233,1119.3
57233,23175,1179.1
23175,57233,1179.1
57233,42326,739.2
42326,57233,739.2
57233,49872,513.4
49872,57233,513.4
57233,62621,482.7
62621,57233,482.7
57233,37616,959.0
37616,57233,959.0
18503,47454,606.2
47454,18503,606.2
18503,37385,625.3
37385,18503,625.3
18503,35640,780.2
35640,18503,780.2
18503,34747,963.0
34747,18503,963.0
18503,35750,742.1
35750,18503,742.1
18503,50007,927.6
50007,18503,927.6
18503,59910,1931.4
59910,18503,1931.4
18503,27814,421.6
27814,18503,421.6
18503,55305,928.0
55305,18503,928.0
18503,54858,888.8
54858,18503,888.8
18503,7029,91.4
7029,18503,91.4
18503,64625,959.4
64625,18503,959.4
18503,11368,105.2
11368,18503,105.2
18503,25203,405.1
25203,18503,405.1
18503,49240,443.2
49240,18503,443.2
18503,48875,486.0
48875,18503,486.0
18503,44502,260.0
44502,18503,260.0
18503,75287,1299.2
75287,18503,1299.2
18503,97416,2432.2
97416,18503,2432.2
18503,95646,2334.5
95646,18503,2334.5
18503,72661,971.8
72661,18503,971.8
18503,91762,2331.5
91762,18503,2331.5
18503,19560,70.6
19560,18503,70.6
18503,66851,1148.8
66851,18503,1148.8
18503,53150,647.4
53150,18503,647.4
18503,56304,964.5
56304,18503,964.5
18503,6389,184.2
6389,18503,184.2
18503,51563,1031.7
51563,18503,1031.7
18503,46055,547.8
46055,18503,547.8
18503,17936,57.5
17936,18503,57.5
18503,16151,235.7
16151,18503,235.7
18503,49323,527.9
49323,18503,527.9
18503,82646,1592.3
82646,18503,1592.3
18503,2464,237.8
2464,18503,237.8
18503,2188,249.3
2188,18503,249.3
18503,30281,715.1
30281,18503,715.1
18503,41265,452.2
41265,18503,452.2
18503,94063,2473.8
94063,18503,2473.8
18503,79014,1380.7
79014,18503,1380.7
18503,31031,724.0
31031,18503,724.0
18503,35006,838.3
35006,18503,838.3
18503,97345,2356.5
97345,18503,2356.5
18503,75494,1226.0
75494,18503,1226.0
18503,73639,1315.9
73639,18503,1315.9
18503,59425,1822.7
59425,18503,1822.7
18503,90058,2361.9
90058,18503,2361.9
18503,30666,671.9
30666,18503,671.9
18503,81062,1512.4
81062,18503,1512.4
18503,76308,1353.0
76308,18503,1353.0
18503,64433,997.8
64433,18503,997.8
18503,24014,367.5
24014,18503,367.5
18503,96106,2337.4
96106,18503,2337.4
18503,12577,80.6
12577,18503,80.6
18503,52077,820.9
52077,18503,820.9
18503,60654,619.9
60654,18503,619.9
18503,90266,2374.7
90266,18503,2374.7
18503,53065,676.1
53065,18503,676.1
18503,78363,1583.6
78363,18503,1583.6
18503,14150,197.8
14150,18503,197.8
18503,11225,103.3
11225,18503,103.3
18503,11207,105.8
11207,18503,105.8
18503,18709,14.7
18709,18503,14.7
18503,87730,1577.9
87730,18503,1577.9
18503,23055,285.6
23055,18503,285.6
18503,5346,195.7
5346,18503,195.7
18503,45827,450.6
45827,18503,450.6
18503,68430,1095.4
68430,18503,1095.4
18503,97141,2398.0
97141,18503,2398.0
18503,20748,191.2
20748,18503,191.2
18503,95975,2379.3
95975,18503,2379.3
18503,78632,1463.6
78632,18503,1463.6
18503,53928,702.8
53928,18503,702.8
18503,76934,1539.6
76934,18503,1539.6
18503,38869,867.3
